time,pod,namespace,cpu_request,cpu_limit,cpu_usage,memory_request,memory_limit,memory_usage,receive_packets,transmit_packets,total_packets,receive_packets_dropped,transmit_packets_dropped,total_packets_dropped
1724521230000,amf1,free5gc,0.1,0.25,0.0000020687500001059785,104857600.0,536870912.0,59588608,,,,,,
1724521260000,amf1,free5gc,0.1,0.25,0.000053539352368274394,104857600.0,536870912.0,59588608,,,,,,
1724521290000,amf1,free5gc,0.1,0.25,0.00007501569492135422,104857600.0,536870912.0,59588608,,,,,,
1724521320000,amf1,free5gc,0.1,0.25,0.000002800405509176449,104857600.0,536870912.0,59588608,,,,,,
1724521350000,amf1,free5gc,0.1,0.25,0.0000032841566343638636,104857600.0,536870912.0,59588608,,,,,,
1724521380000,amf1,free5gc,0.1,0.25,0,104857600.0,536870912.0,59588608,,,,,,
1724521410000,amf1,free5gc,0.1,0.25,0.00012391795929581195,104857600.0,536870912.0,59588608,,,,,,
1724521440000,amf1,free5gc,0.1,0.25,0.000003060294668574255,104857600.0,536870912.0,59588608,,,,,,
1724521470000,amf1,free5gc,0.1,0.25,0.000002913201028733657,104857600.0,536870912.0,59588608,,,,,,
1724521500000,amf1,free5gc,0.1,0.25,0.0000013841179090855758,104857600.0,536870912.0,59588608,,,,,,
1724521530000,amf1,free5gc,0.1,0.25,0.000049097086304386104,104857600.0,536870912.0,59588608,,,,,,
1724521560000,amf1,free5gc,0.1,0.25,0.0000010187074832108996,104857600.0,536870912.0,59588608,,,,,,
1724521590000,amf1,free5gc,0.1,0.25,0.000003296932061474305,104857600.0,536870912.0,59588608,,,,,,
1724521620000,amf1,free5gc,0.1,0.25,0,104857600.0,536870912.0,59588608,,,,,,
1724521650000,amf1,free5gc,0.1,0.25,0.0000688028146380468,104857600.0,536870912.0,59588608,,,,,,
1724521680000,amf1,free5gc,0.1,0.25,0.000004079208785402725,104857600.0,536870912.0,59588608,,,,,,
